Date,League,HomeTeam,AwayTeam,HomeScore,AwayScore,OU_Line,TotalPoints,OU_Result,Home_Avg_MOV,Home_Avg_Pts_For,Home_Avg_Pts_Against,Home_Avg_OU_Hit_Rate,Away_Avg_MOV,Away_Avg_Pts_For,Away_Avg_Pts_Against,Away_Avg_OU_Hit_Rate,Avg_MOV_Diff,Avg_Pts_For_Diff,Avg_Pts_Against_Diff,Avg_OU_Hit_Rate_Diff
2022-11-26,NBA,Phoenix,Utah,113,112,232.0,225,0,5.8,110.3,104.5,0.2,0.9,89.1,88.2,0.5,4.8999999999999995,21.200000000000003,16.299999999999997,-0.3
2022-11-26,NCAAB,New,North,76,55,151.0,131,0,-7.9,100.0,107.9,0.8,-3.1,69.2,72.3,0.6,-4.800000000000001,30.799999999999997,35.60000000000001,0.20000000000000007
2022-11-26,NCAAB,New,Uc,68,85,139.0,153,1,-2.9,101.4,104.3,0.7,-0.9,69.0,69.9,0.5,-2.0,32.400000000000006,34.39999999999999,0.19999999999999996
2022-11-26,NCAAB,Georgia,North,80,61,142.0,141,0,5.8,74.0,68.2,0.5,-6.3,67.3,73.6,0.6,12.1,6.700000000000003,-5.3999999999999915,-0.09999999999999998
2022-11-26,NCAAB,Western,Cleveland,49,71,136.0,120,0,-4.0,65.5,69.5,0.3,1.6,97.8,96.2,0.4,-5.6,-32.3,-26.700000000000003,-0.10000000000000003
2022-11-26,NCAAB,Eastern,Alabama,58,67,133.0,125,0,-14.1,62.6,76.7,0.4,-8.0,71.3,79.3,0.6,-6.1,-8.699999999999996,-2.5999999999999943,-0.19999999999999996
2022-11-27,NBA,Los,Indiana,114,100,221.0,214,0,-2.2,112.4,114.6,0.5,18.1,93.1,75.0,0.5,-20.3,19.30000000000001,39.599999999999994,0.0
2022-11-27,NCAAB,Florida,Eastern,90,79,155.0,169,1,-4.8,70.9,75.7,0.6,-14.4,62.0,76.4,0.4,9.600000000000001,8.900000000000006,-0.7000000000000028,0.19999999999999996
2022-11-27,NBA,Atlanta,Miami,98,106,225.0,204,0,3.6,119.7,116.1,0.7,-1.6,81.9,83.5,0.6,5.2,37.8,32.599999999999994,0.09999999999999998
2022-11-27,NBA,Boston,Washington,130,121,220.0,251,1,4.7,89.5,84.8,0.6,5.7,86.4,80.7,0.5,-1.0,3.0999999999999943,4.099999999999994,0.09999999999999998
2022-11-27,NCAAB,Alabama,North,103,101,155.0,204,1,-3.0,71.0,74.0,0.5,-8.7,65.6,74.3,0.5,5.699999999999999,5.400000000000006,-0.29999999999999716,0.0
2022-11-27,NCAAB,Oklahoma,Mississippi,59,55,128.0,114,0,12.1,95.8,83.7,0.6,3.0,67.0,64.0,0.3,9.1,28.799999999999997,19.700000000000003,0.3
2022-11-27,NCAAB,Eastern,Uc,63,66,144.0,129,0,-12.5,64.2,76.7,0.4,1.4,70.2,68.8,0.4,-13.9,-6.0,7.900000000000006,0.0
2022-11-28,NBA,Denver,Houston,129,113,228.0,242,1,1.7,92.7,91.0,0.4,-5.5,107.2,112.7,0.8,7.2,-14.5,-21.700000000000003,-0.4
2022-11-28,NBA,Washington,Minnesota,142,127,228.0,269,1,5.8,92.4,86.6,0.6,2.9,97.2,94.3,0.1,2.9,-4.799999999999997,-7.700000000000003,0.5
2022-11-28,NBA,Philadelphia,Atlanta,104,101,221.0,205,0,8.8,110.4,101.6,0.4,0.4,115.9,115.5,0.6,8.4,-5.5,-13.900000000000006,-0.19999999999999996
2022-11-28,NBA,New,Oklahoma,105,101,233.0,206,0,-3.9,98.4,102.3,0.8,9.6,92.6,83.0,0.5,-13.5,5.800000000000011,19.299999999999997,0.30000000000000004
2022-11-28,NBA,Utah,Chicago,107,114,235.0,221,0,1.7,89.1,87.4,0.4,-6.2,89.7,95.9,0.4,7.9,-0.6000000000000085,-8.5,0.0
2022-11-28,NCAAB,Boston,Uc,70,81,142.0,151,1,4.0,89.7,85.7,0.6,2.7,71.3,68.6,0.4,1.2999999999999998,18.400000000000006,17.10000000000001,0.19999999999999996
2022-11-29,NBA,Dallas,Golden,116,113,227.0,229,1,-0.2,104.7,104.9,0.6,5.4,117.6,112.2,0.6,-5.6000000000000005,-12.899999999999991,-7.299999999999997,0.0
2022-11-30,NCAAB,Loyola,Central,85,70,142.0,155,1,-5.3,65.1,70.4,0.4,-8.2,70.4,78.6,0.5,2.8999999999999995,-5.300000000000011,-8.199999999999989,-0.09999999999999998
2022-11-30,NCAAB,Indiana,North,77,65,144.0,142,0,14.6,95.0,80.4,0.5,-4.4,69.7,74.1,0.5,19.0,25.299999999999997,6.300000000000011,0.0
2022-11-30,NCAAB,Saint,New,65,69,137.0,134,0,5.2,74.1,68.9,0.8,-4.5,96.0,100.5,0.7,9.7,-21.900000000000006,-31.599999999999994,0.10000000000000009
2022-11-30,NBA,Cleveland,Philadelphia,113,85,208.0,198,0,2.8,93.2,90.4,0.3,7.2,108.1,100.9,0.3,-4.4,-14.899999999999991,-10.5,0.0
2022-11-30,NBA,Boston,Miami,134,121,225.0,255,1,2.1,84.9,82.8,0.6,-0.1,85.5,85.6,0.5,2.2,-0.5999999999999943,-2.799999999999997,0.09999999999999998
2022-11-30,NBA,Brooklyn,Washington,113,107,228.0,220,0,8.0,111.0,103.0,0.2,6.4,94.5,88.1,0.6,1.5999999999999996,16.5,14.900000000000006,-0.39999999999999997
2022-11-30,NBA,Oklahoma,San,119,111,229.0,230,1,9.6,90.5,80.9,0.4,-4.8,83.6,88.4,0.6,14.399999999999999,6.900000000000006,-7.5,-0.19999999999999996
2022-11-30,NBA,New,Toronto,126,108,221.0,234,1,-2.0,91.8,93.8,0.6,-2.2,109.9,112.1,0.7,0.20000000000000018,-18.10000000000001,-18.299999999999997,-0.09999999999999998
2022-11-30,NBA,Utah,Los,125,112,223.0,237,1,0.6,92.5,91.9,0.3,-1.0,111.9,112.9,0.4,1.6,-19.400000000000006,-21.0,-0.10000000000000003
2022-11-30,NBA,Phoenix,Chicago,132,113,227.0,245,1,6.0,111.2,105.2,0.2,-2.4,95.7,98.1,0.4,8.4,15.5,7.1000000000000085,-0.2
2022-11-30,NCAAB,Memphis,North,87,68,143.0,155,1,2.0,106.1,104.1,0.5,-1.6,70.6,72.2,0.5,3.6,35.5,31.89999999999999,0.0
2022-11-30,NCAAB,Penn,Saint,80,85,145.0,165,1,2.1,73.9,71.8,0.6,4.0,72.8,68.8,0.7,-1.9,1.1000000000000085,3.0,-0.09999999999999998
2022-11-30,NCAAB,Florida,Eastern,68,80,162.0,148,0,-1.2,74.0,75.2,0.6,-9.8,64.8,74.6,0.3,8.600000000000001,9.200000000000003,0.6000000000000085,0.3
2022-11-30,NCAAB,Florida,South,84,59,141.0,143,1,-1.5,74.1,75.6,0.6,-8.0,63.7,71.7,0.4,6.5,10.399999999999991,3.8999999999999915,0.19999999999999996
2022-11-30,NCAAB,Eastern,Northern,70,90,128.0,160,1,-7.2,66.8,74.0,0.3,-7.2,70.7,77.9,0.7,0.0,-3.9000000000000057,-3.9000000000000057,-0.39999999999999997
2022-12-01,NBA,Detroit,Dallas,131,125,221.0,256,1,-11.8,102.2,114.0,0.7,0.7,105.2,104.5,0.6,-12.5,-3.0,9.5,0.09999999999999998
2022-12-02,NBA,Memphis,Philadelphia,117,109,218.0,226,1,4.2,104.2,100.0,0.6,4.3,105.3,101.0,0.2,-0.09999999999999964,-1.0999999999999943,-1.0,0.39999999999999997
2022-12-02,NBA,Utah,Indiana,139,119,240.0,258,1,2.6,95.2,92.6,0.4,10.4,93.3,82.9,0.4,-7.800000000000001,1.9000000000000057,9.699999999999989,0.0
2022-12-02,NBA,Phoenix,Houston,121,122,229.0,243,1,6.2,113.2,107.0,0.3,-5.7,107.4,113.1,0.8,11.9,5.799999999999997,-6.099999999999994,-0.5
2022-12-02,NBA,Golden,Chicago,119,111,237.0,230,0,3.7,116.6,112.9,0.6,-4.8,97.1,101.9,0.6,8.5,19.5,11.0,0.0
2022-12-02,NCAAB,Georgia,Florida,68,46,131.0,114,0,0.4,71.2,70.8,0.4,0.1,74.9,74.8,0.7,0.30000000000000004,-3.700000000000003,-4.0,-0.29999999999999993
2022-12-02,NBA,San,New,99,117,233.0,216,0,-6.7,85.9,92.6,0.6,0.1,91.5,91.4,0.6,-6.8,-5.599999999999994,1.1999999999999886,0.0
2022-12-03,NBA,New,Dallas,100,121,224.0,221,0,1.6,94.5,92.9,0.5,-0.8,106.3,107.1,0.6,2.4000000000000004,-11.799999999999997,-14.199999999999989,-0.09999999999999998
2022-12-03,NBA,Charlotte,Milwaukee,96,105,219.0,201,0,1.3,91.5,90.2,0.2,5.4,105.9,100.5,0.6,-4.1000000000000005,-14.400000000000006,-10.299999999999997,-0.39999999999999997
2022-12-03,NCAAB,Miami,Indiana,61,88,154.0,149,0,-2.5,85.3,87.8,0.4,7.7,92.3,84.6,0.4,-10.2,-7.0,3.200000000000003,0.0
2022-12-03,NCAAB,Western,Ut,90,72,156.0,162,1,-7.8,64.6,72.4,0.5,-6.3,67.6,73.9,0.5,-1.5,-3.0,-1.5,0.0
2022-12-03,NBA,Toronto,Orlando,121,108,220.0,229,1,-3.7,109.8,113.5,0.7,0.3,107.6,107.3,0.5,-4.0,2.200000000000003,6.200000000000003,0.19999999999999996
2022-12-03,NCAAB,Alabama,South,78,65,155.0,143,0,-2.0,73.7,75.7,0.5,-3.5,68.1,71.6,0.7,1.5,5.6000000000000085,4.1000000000000085,-0.19999999999999996
2022-12-03,NCAAB,Memphis,Mississippi,68,57,134.0,125,0,4.8,103.5,98.7,0.6,-0.9,62.9,63.8,0.3,5.7,40.6,34.900000000000006,0.3
2022-12-03,NBA,Golden,Houston,120,101,235.0,221,0,3.1,116.2,113.1,0.5,-4.8,109.5,114.3,0.9,7.9,6.700000000000003,-1.2000000000000028,-0.4
2022-12-04,NCAAB,Denver,East,84,75,139.0,159,1,3.8,97.1,93.3,0.4,-10.0,70.6,80.6,0.9,13.8,26.5,12.700000000000003,-0.5
2022-12-04,NCAAB,Chicago,Southern,78,61,150.0,139,0,-3.3,97.9,101.2,0.6,3.5,70.6,67.1,0.5,-6.8,27.30000000000001,34.10000000000001,0.09999999999999998
2022-12-04,NCAAB,Eastern,Florida,73,101,149.0,174,1,-8.7,65.5,74.2,0.3,-2.9,68.6,71.5,0.5,-5.799999999999999,-3.0999999999999943,2.700000000000003,-0.2
2022-12-04,NBA,New,Denver,121,106,230.0,227,0,1.5,85.7,84.2,0.3,5.2,97.0,91.8,0.4,-3.7,-11.299999999999997,-7.599999999999994,-0.10000000000000003
2022-12-04,NBA,San,Phoenix,95,133,230.0,228,0,-12.6,88.3,100.9,0.7,3.2,111.9,108.7,0.3,-15.8,-23.60000000000001,-7.799999999999997,0.39999999999999997
2022-12-04,NBA,Washington,Los,119,130,234.0,249,1,4.8,95.0,90.2,0.6,-1.7,111.7,113.4,0.4,6.5,-16.700000000000003,-23.200000000000003,0.19999999999999996
2022-12-04,NBA,New,Cleveland,92,81,222.0,173,0,1.7,88.8,87.1,0.2,4.7,91.3,86.6,0.2,-3.0,-2.5,0.5,0.0
2022-12-04,NBA,Portland,Indiana,116,100,234.0,216,0,-2.0,91.3,93.3,0.6,0.2,87.0,86.8,0.2,-2.2,4.299999999999997,6.5,0.39999999999999997
2022-12-05,NBA,Charlotte,Los,117,119,218.0,236,1,1.3,90.4,89.1,0.1,0.9,115.2,114.3,0.5,0.4,-24.799999999999997,-25.200000000000003,-0.4
2022-12-05,NBA,Golden,Indiana,104,112,241.0,216,0,7.9,117.7,109.8,0.4,-2.8,85.2,88.0,0.2,10.7,32.5,21.799999999999997,0.2
2022-12-06,NCAAB,Georgia,Georgia,79,77,131.0,156,1,4.2,71.8,67.6,0.4,4.2,71.8,67.6,0.4,0.0,0.0,0.0,0.0
2022-12-06,NCAAB,Oklahoma,Kansas,75,53,122.0,128,1,8.9,89.7,80.8,0.5,11.7,78.3,66.6,0.6,-2.799999999999999,11.400000000000006,14.200000000000003,-0.09999999999999998
2022-12-06,NCAAB,Ut,North,57,60,114.0,117,1,-9.3,67.9,77.2,0.6,0.4,76.9,76.5,0.7,-9.700000000000001,-9.0,0.7000000000000028,-0.09999999999999998
2022-12-06,NBA,Miami,Detroit,96,116,220.0,212,0,-0.9,85.1,86.0,0.3,-11.0,104.5,115.5,0.8,10.1,-19.400000000000006,-29.5,-0.5
2022-12-06,NBA,Denver,Dallas,115,116,223.0,231,1,3.2,100.8,97.6,0.4,1.2,107.3,106.1,0.5,2.0,-6.5,-8.5,-0.09999999999999998
2022-12-07,NCAAB,North,Alabama,71,63,145.0,134,0,0.9,72.3,71.4,0.7,-4.3,72.0,76.3,0.4,5.2,0.29999999999999716,-4.8999999999999915,0.29999999999999993
2022-12-07,NCAAB,Tennessee,Eastern,84,49,141.0,133,0,7.3,73.9,66.6,0.7,-9.7,65.9,75.6,0.3,17.0,8.0,-9.0,0.39999999999999997
2022-12-07,NBA,New,Atlanta,113,89,233.0,202,0,0.7,90.4,89.7,0.2,-1.2,114.8,116.0,0.6,1.9,-24.39999999999999,-26.299999999999997,-0.39999999999999997
2022-12-07,NBA,Milwaukee,Sacramento,126,113,236.0,239,1,3.6,101.5,97.9,0.7,-3.2,89.6,92.8,0.3,6.800000000000001,11.900000000000006,5.1000000000000085,0.39999999999999997
2022-12-07,NCAAB,Illinois,Eastern,87,81,143.0,168,1,13.3,77.1,63.8,0.5,-14.0,64.8,78.8,0.3,27.3,12.299999999999997,-15.0,0.2
2022-12-07,NCAAB,Sacramento,Denver,87,85,134.0,172,1,-1.9,95.9,97.8,0.4,2.6,105.5,102.9,0.5,-4.5,-9.599999999999994,-5.1000000000000085,-0.09999999999999998
2022-12-07,NBA,Brooklyn,Charlotte,122,116,223.0,238,1,7.9,110.7,102.8,0.2,1.6,92.7,91.1,0.2,6.300000000000001,18.0,11.700000000000003,0.0
2022-12-07,NBA,Utah,Golden,124,123,230.0,247,1,2.4,99.5,97.1,0.4,5.8,115.8,110.0,0.3,-3.4,-16.299999999999997,-12.900000000000006,0.10000000000000003
2022-12-07,NBA,Memphis,Oklahoma,123,102,233.0,225,0,5.7,97.9,92.2,0.5,10.7,84.9,74.2,0.5,-4.999999999999999,13.0,18.0,0.0
2022-12-07,NBA,New,Detroit,104,98,229.0,202,0,6.8,96.0,89.2,0.1,-5.4,101.3,106.7,0.6,12.2,-5.299999999999997,-17.5,-0.5
2022-12-08,NCAAB,Minnesota,Michigan,75,90,136.0,165,1,-0.1,98.5,98.6,0.2,3.5,74.5,71.0,0.6,-3.6,24.0,27.599999999999994,-0.39999999999999997
